Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
75500,1.4221765,131.0,0.23265734,-1.0,-1.0,1.0
76000,1.4221766,999.0,0.9455192,3.800000011920929,3.800000011920929,1.0
76500,1.4221642,384.6666666666667,0.28121918,2.3000001460313797,2.3000001460313797,1.0
77000,1.4214561,317.5,0.01872752,16.52000241279602,16.52000241279602,1.0
77500,1.4214562,28.0,-0.18945779,-1.0,-1.0,1.0
78000,1.4214562,682.6666666666666,0.60265774,23.100003480911255,23.100003480911255,1.0
78500,1.4214561,22.5,-0.12047389,-0.5999999990065893,-0.5999999990065893,1.0
79000,1.4214561,275.5,0.009185818,25.50000286102295,25.50000286102295,1.0
79500,1.4214561,None,0.17036326,-1.0,-1.0,1.0
80000,1.4214561,546.0,0.09326842,-1.0,-1.0,1.0
80500,1.4214562,150.5,0.42369223,-1.0,-1.0,1.0
81000,1.4214561,None,0.18460248,None,None,1.0
81500,1.4209002,197.5,0.0089543015,-1.0,-1.0,1.0
82000,1.4200761,404.0,0.21804877,6.700000762939453,6.700000762939453,1.0
82500,1.4200763,None,0.25723815,-1.0,-1.0,1.0
83000,1.4200764,None,0.36493856,None,None,1.0
83500,1.4200763,97.0,0.47702903,-0.050000011920928955,-0.050000011920928955,1.0
84000,1.4200764,86.5,-0.022789508,-1.0,-1.0,1.0
84500,1.4200764,11.0,0.31318274,-1.0,-1.0,1.0
85000,1.4200763,227.0,0.14828974,-1.0,-1.0,1.0
85500,1.4200761,None,0.5628874,None,None,1.0
86000,1.4200761,366.0,0.33185002,-0.34999996423721313,-0.34999996423721313,1.0
86500,1.4201388,282.6666666666667,-0.13064158,-1.0,-1.0,1.0
87000,1.420642,237.0,-0.2929002,2.100000023841858,2.100000023841858,1.0
87500,1.420642,895.0,0.11922836,4.866667111714681,4.866667111714681,1.0
88000,1.420642,392.5,0.013012255,-1.0,-1.0,1.0
88500,1.420642,72.5,0.24570352,-1.0,-1.0,1.0
89000,1.4206421,47.0,0.5880725,-1.0,-1.0,1.0
89500,1.4206421,999.0,0.62469935,0.0,0.0,1.0
90000,1.420642,554.5,0.3905093,-1.0,-1.0,1.0
90500,1.420642,112.0,0.3151484,22.6500027179718,22.6500027179718,1.0
91000,1.420642,217.0,-0.16322945,-0.3999999761581421,-0.3999999761581421,1.0
91500,1.4198452,261.0,0.21933715,-1.0,-1.0,1.0
92000,1.4181633,102.66666666666667,0.019278258,-0.5999999841054281,-0.5999999841054281,1.0
92500,1.4181635,187.0,0.26552013,2.6999998092651367,2.6999998092651367,1.0
93000,1.4181634,76.0,0.35539705,-1.0,-1.0,1.0
93500,1.4181634,461.0,0.017118085,23.800002098083496,23.800002098083496,1.0
94000,1.4181634,186.33333333333334,-0.20153293,0.0,0.0,1.0
94500,1.4181634,109.0,0.431894,-1.0,-1.0,1.0
95000,1.4181634,657.5,0.24916494,-0.23333330949147543,-0.23333330949147543,1.0
95500,1.4181634,377.3333333333333,0.00862419,-0.6666666666666666,-0.6666666666666666,1.0
96000,1.4181634,71.8,-0.52950704,-1.0,-1.0,1.0
96500,1.417087,None,0.45023093,None,None,1.0
97000,1.4133083,177.5,-0.38960627,-0.5999999940395355,-0.5999999940395355,1.0
97500,1.4133065,676.3333333333334,0.6052665,49.166674057642616,49.166674057642616,1.0
98000,1.4133065,116.0,0.04291144,-1.0,-1.0,1.0
98500,1.4133064,None,0.35698634,None,None,1.0
99000,1.4133064,276.0,-0.043522906,3.300000011920929,3.300000011920929,1.0
99500,1.4133064,108.0,0.123910405,-1.0,-1.0,1.0
100000,1.4133064,332.3333333333333,-0.53790474,-0.5399999618530273,-0.5399999618530273,1.0
100500,1.4133065,153.0,-0.11643277,-1.0,-1.0,1.0
101000,1.4133065,999.0,0.7604967,0.0,0.0,1.0
101500,1.4133064,403.0,-0.41437465,-1.0,-1.0,1.0
102000,1.4110391,170.0,-0.036212284,-0.75,-0.75,1.0
102500,1.410323,107.0,0.29691023,-1.0,-1.0,1.0
